Bug_id, Number of Functions, total cyclomatic complexity, total lines of code,total token_count,total parameters
171638,164.0,390.0,1416.0,8306.0,136.0
114569,60.0,129.5,575.5,3557.0,35.5
174435,156.0,474.0,2103.0,12432.0,99.0
171586,16.333333333333332,54.333333333333336,295.0,2006.3333333333333,10.0
174179,45.0,102.0,363.0,2485.0,57.0
170177,12.0,15.0,64.0,477.0,15.0
173445,36.0,101.0,386.0,2439.0,27.0
173442,120.0,361.0,1834.0,10832.0,61.0
173287,156.0,474.0,2099.0,12408.0,99.0
173250,29.0,114.0,471.0,3168.0,52.0
172875,9.0,21.0,99.0,555.5,5.5
173133,120.0,359.0,1830.0,10802.0,61.0
171361,22.0,57.5,225.5,1295.5,13.5
172917,6.0,16.0,73.5,461.5,4.5
173016,43.0,188.0,666.0,4032.0,33.0
162192,3.0,6.0,36.0,267.5,7.0
172808,120.0,359.0,1817.0,10736.0,61.0
167858,27.0,50.0,172.0,869.0,22.0
88359,19.0,46.333333333333336,215.66666666666666,1399.3333333333333,12.333333333333334
164343,12.2,18.8,74.0,352.4,9.2
169898,51.0,238.0,1063.0,6958.0,89.0
172814,40.5,135.83333333333334,473.1666666666667,2889.6666666666665,49.5
172810,41.0,89.0,337.0,2187.5,36.0
170525,14.333333333333334,32.0,116.66666666666667,726.3333333333334,15.0
172019,103.0,441.0,1499.0,9468.0,153.0
165368,12.0,33.0,109.0,620.0,9.0
167246,5.0,9.666666666666666,34.0,182.33333333333334,4.333333333333333
172655,13.75,30.25,119.5,736.25,17.5
140298,52.0,56.0,205.0,1153.0,52.0
172548,27.0,81.0,329.0,2178.0,26.0
172520,21.0,78.0,280.0,1596.0,38.0
172486,27.0,81.0,329.0,2174.0,26.0
150661,18.0,65.0,265.0,1732.0,18.0
167129,8.4,20.8,83.4,517.2,6.2
171415,35.0,89.5,323.5,1958.0,33.5
171786,4.0,6.0,20.0,116.0,6.0
133378,65.0,142.0,695.0,4450.0,48.0
171027,27.0,44.0,188.0,999.0,21.0
150805,16.333333333333332,39.333333333333336,155.33333333333334,1048.3333333333333,22.0
171998,15.0,22.0,73.0,390.0,4.0
172020,20.0,47.0,174.0,1194.0,24.0
134740,19.0,49.5,255.5,1484.0,18.0
147515,5.882352941176471,10.529411764705882,58.88235294117647,317.8235294117647,4.764705882352941
171746,120.0,353.0,1698.0,9913.0,61.0
171733,8.0,15.0,73.5,648.0,5.0
169023,7.5,20.5,81.5,537.0,7.0
171649,103.0,442.0,1501.0,9488.0,153.0
170884,21.23404255319149,62.702127659574465,286.51063829787233,1794.7446808510638,18.319148936170212
167131,15.666666666666666,57.333333333333336,226.33333333333334,1375.3333333333333,18.333333333333332
171262,42.0,94.0,372.0,2293.0,41.0
171452,5.0,5.0,20.0,89.0,2.0
168432,11.0,36.0,137.75,840.0,10.5
170119,25.0,204.0,605.0,4982.0,27.0
153975,10.5,19.0,86.0,714.5,2.5
170928,7.0,12.0,81.0,428.0,3.0
167325,12.2,18.8,59.0,346.6,13.6
171015,10.0,27.0,217.0,1136.0,6.0
167134,10.0,27.0,215.0,1117.0,6.0
169697,13.333333333333334,28.666666666666668,120.33333333333333,643.0,8.666666666666666
167323,54.5,196.75,680.25,4210.0,72.0
170827,33.0,91.0,393.0,2240.0,21.0
167692,27.0,103.0,455.0,3039.0,19.0
169694,25.0,41.0,169.0,944.0,16.0
170668,9.333333333333334,14.333333333333334,40.0,238.33333333333334,8.666666666666666
107443,23.7,68.5,259.1,1570.6,24.7
89834,17.22222222222222,41.611111111111114,182.44444444444446,1101.7777777777778,13.222222222222221
169696,24.0,36.0,158.0,873.0,14.0
29633,16.285714285714285,37.285714285714285,187.0,1276.142857142857,7.0
169622,4.0,5.0,15.0,73.0,4.0
169571,15.277777777777779,74.44444444444444,255.16666666666666,1814.5,15.166666666666666
170664,18.0,58.0,272.0,1813.0,25.0
169185,5.0,16.0,69.0,409.0,3.0
169125,29.625,105.375,485.5,3000.5,34.75
170194,5.0,9.0,35.0,263.0,1.0
170183,27.0,112.0,454.0,3068.0,45.0
165714,114.0,326.0,1583.0,9180.0,51.0
167893,12.615384615384615,45.92307692307692,248.23076923076923,1472.6923076923076,8.076923076923077
169879,17.0,38.0,169.0,1310.0,11.0
166763,7.928571428571429,22.785714285714285,102.21428571428571,639.5,12.214285714285714
166972,10.0,51.0,231.0,1204.0,13.0
94461,6.166666666666667,19.166666666666668,121.5,831.8333333333334,6.5
169778,4.0,15.0,56.0,391.0,10.0
140697,52.0,165.0,579.0,3593.0,74.0
48939,14.0,66.0,338.0,2228.0,15.0
169529,15.0,24.0,127.0,936.0,19.0
169543,48.5,104.5,396.0,2328.5,42.0
166619,28.0,82.0,400.0,3064.0,47.0
155650,17.8,49.0,207.4,1333.2,16.2
169346,5.8,16.6,64.0,375.0,5.0
168901,12.5,27.25,107.25,699.0,9.25
165945,35.0,73.0,291.0,1656.0,35.0
168806,9.0,16.0,74.0,329.0,7.0
118107,18.875,43.375,188.5,1130.5,12.75
168709,8.0,12.0,50.0,235.0,7.0
168442,45.0,93.0,328.0,2101.0,40.0
168720,58.0,154.0,674.0,3991.0,58.0
167607,5.0,11.0,43.0,314.0,6.0
168433,7.0,19.5,70.0,467.0,7.0
167642,8.0,18.0,49.0,288.0,3.0
167486,7.0,16.0,43.0,262.0,3.0
165528,5.5,11.0,42.5,285.5,2.0
168153,5.5,9.0,52.5,283.25,3.25
168101,17.0,74.0,334.0,2071.0,17.0
168057,95.0,314.0,1301.0,8660.0,79.0
167641,3.0,7.0,44.0,353.0,0.0
167668,52.0,164.0,576.0,3579.0,74.0
