file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
223843,7dfc047,,6.230769,0.0,0.0,0.0,10.230769,2.3076923,0.0,12.846154,29.76923,0.4626501,0.15121825,1.9809887,8.230769,0.30769232,6.769231,1.0769231,0.3846154,0.0,0,0.0,0.0,0.0,3.8461537,2.6923077,2.6923077,1.1538461,0.0,0.0,1.6153846,0.0,0.07692308,79.46154,1.3846154,0.23076923,0.7692308,0.3846154,0.0,4.0,2.1538463,9.076923,0.07692308,7.8461537,1.0769231,1.0769231,0.0,0.0,65.53846,0.9230769,0.0
273330,18de306,,10.5,0.0,0.0,0.0,49.5,2.5,0.0,21.5,153.5,0.8630952,0.26569834,1.1140579,21.5,5.5,10.5,0.5,10.5,0.0,0,0.0,0.0,0.0,10.0,4.0,4.0,6.0,0.0,0.0,4.0,0.0,0.0,192.0,25.0,1.0,9.0,0.0,2.5,4.0,12.5,42.0,0.0,25.5,1.5,0.5,0.0,0.0,243.0,1.0,0.0
255422,0f9db3d,,26.0,0.0,0.0,0.0,94.0,3.0,0.0,73.0,937.0,0.9076087,0.032520324,0.042973287,46.0,0.0,34.0,4.0,3.0,5.0,0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,332.0,29.0,0.0,32.0,0.0,5.0,1.0,4.0,38.0,1.0,36.0,2.0,1.0,2.0,0.0,194.0,1.0,0.0
272583,050b72e,,11.0,0.0,0.0,0.0,36.0,2.6666667,0.0,32.333332,291.66666,0.3200617,0.35641026,1.0871795,16.666666,5.0,5.0,1.6666666,10.0,0.0,0,0.0,0.0,0.0,8.333333,6.6666665,4.6666665,3.3333333,0.33333334,0.0,6.3333335,0.0,5.6666665,158.66667,14.333333,1.3333334,10.333333,0.6666667,4.3333335,6.0,12.0,41.0,7.3333335,31.333334,2.0,0.6666667,0.33333334,0.0,174.66667,342.33334,0.0
190838,cb83ec5,,27.666666,0.0,0.0,0.0,166.33333,2.3333333,0.0,96.0,627.0,0.82632595,0.3537611,1.877234,39.666668,0.6666667,26.333334,6.3333335,5.3333335,1.6666666,0,2.3333333,0.0,0.0,10.0,0.6666667,0.0,6.3333335,3.0,0.6666667,0.6666667,0.0,4.3333335,639.6667,43.333332,16.666666,54.333332,1.0,23.666666,3.3333333,41.333332,148.33333,6.6666665,120.333336,4.6666665,1.3333334,1.6666666,0.0,308.0,342.33334,0.0
267934,645e483,,113.0,0.0,0.0,0.0,232.0,17.0,0.0,222.0,1583.0,0.95908725,0.17857143,0.35714287,62.0,22.0,3.0,54.0,5.0,0.0,0,0.0,0.0,0.0,41.0,13.0,0.0,37.0,0.0,4.0,15.0,0.0,49.0,1927.0,87.0,32.0,36.0,1.0,21.0,15.0,64.0,369.0,2.0,291.0,5.0,14.0,19.0,0.0,459.0,1.0,0.0
267834,29203db,,57.5,0.0,0.0,0.0,116.5,9.5,0.0,111.5,791.5,NaN,NaN,NaN,31.0,11.0,1.5,27.0,2.5,0.0,0,0.0,0.0,0.0,425.0,411.0,404.0,19.0,0.0,2.0,8.0,0.0,24.5,1371.5,43.5,16.0,18.0,0.5,10.5,8.0,32.0,185.0,1.0,550.0,2.5,7.0,9.5,0.0,546.0,1.0,0.0
273163,e4c737a,,11.4,0.0,0.0,0.0,23.8,1.8,0.0,16.6,39.6,0.7985714,0.085714296,0.5666667,9.4,0.0,8.2,0.0,1.2,0.0,0,0.0,0.0,0.0,2.6,1.4,0.4,2.2,0.0,0.0,0.4,0.0,0.0,82.4,7.6,0.8,5.2,0.8,3.2,6.2,1.2,17.0,3.0,13.2,3.0,0.2,0.0,0.0,58.2,1.0,3.0
194917,5880f61,,5.5,0.0,0.0,0.0,17.75,1.75,0.0,15.0,90.25,NaN,NaN,NaN,11.0,0.0,9.25,0.75,0.5,0.5,0,0.0,0.0,0.0,203.5,202.5,201.75,0.5,0.0,1.25,0.75,0.0,0.75,260.75,3.75,2.0,1.75,0.0,0.5,0.75,5.5,12.75,0.5,213.25,1.25,0.0,0.0,0.0,236.0,1.0,0.0
273012,7d103d6,,14.0,0.0,0.0,0.0,31.0,3.0,0.0,16.0,176.0,0.8020834,0.18115942,0.38405797,24.0,0.0,23.0,0.0,1.0,0.0,0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,104.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,1.0,1.0,0.0,160.0,1.0,0.0
